bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,availability,rack no,due
43,Dark Lover (Black Dagger Brotherhood  #1),J.R. Ward,4.2,451216954,9780451216953,eng,393,259511,10475,9/6/2005,Penguin Group (USA),yes,133,
44,Lover Awakened (Black Dagger Brotherhood  #3),J.R. Ward,4.45,451219368,9780451219367,eng,448,144906,5728,9/5/2006,Signet,no,,14
45,All Things Wise and Wonderful,James Herriot,4.41,312335288,9780312335281,eng,448,22780,366,11/1/2004,St. Martin's Griffin,yes,136,
46,CliffsNotes on Remarque's All Quiet on the Western Front,Susan Van Kirk/CliffsNotes/Erich Maria Remarque,4.24,764586718,9780764586712,eng,112,12,0,12/20/2000,Cliffs Notes,yes,129,
47,All Quiet on the Western Front,Erich Maria Remarque,3.97,449231801,9780449231807,en-GB,256,64,4,3/12/1987,Fawcett Crest,yes ,130,
48,The Nightingale's Song,Kathleen Eschenburg,3.88,380815699,9780380815692,eng,384,16,3,10/30/2001,HarperTorch,yes,131,
49,Nightingale's Song,Kate Pennington,3.02,340878754,9780340878750,en-GB,219,40,5,10/19/2006,Hachette Children's,no,,15
50,Gai-Jin (Asian Saga  #3),James Clavell,3.86,044021680X,9780440216803,eng,1236,10757,296,4/3/1994,Dell,yes,129,
51,Whirlwind (Asian Saga  #6),James Clavell,3.82,340766182,9780340766187,eng,1231,5626,164,12/2/1999,Morrow,no,,16
52,Tai-Pan (Asian Saga  #2),James Clavell,4.27,440184622,9780440184621,eng,734,39315,778,9/1/2009,Dell,yes,130,
53,Escape: The Love Story from Whirlwind,James Clavell,3.63,340654163,9780340654163,eng,584,276,14,7/1/1999,Hodder & Stoughton,no,,17
54,Alaska,James A. Michener,4.12,037576142X,9780375761423,eng,868,9330,590,11/12/2002,Dial Press Trade Paperback,yes,133,
55,The Drifters,James A. Michener,4.04,449213536,9780449213537,eng,768,6253,353,10/12/1986,Fawcett Books,yes ,134,
56,Sayonara,James A. Michener,3.81,449204146,9780449204146,eng,208,1848,104,9/12/1983,Fawcett,yes,135,
57,The Bridge at Andau,James A. Michener,3.94,449210502,9780449210505,en-US,288,1135,158,9/12/1985,Fawcett,no,,18
58,Caribbean,James A. Michener,3.93,812974921,9780812974928,eng,672,4718,232,12/13/2005,Dial Press,yes,134,
59,War and Remembrance (The Henry Family  #2),Herman Wouk,4.41,316954993,9780316954990,eng,1042,29555,680,2/5/2002,Back Bay Books,no,,19
